Aanval,Techniek,TACHIWAZA,SUWARIWAZA,"HANMI-
HANDACHIWAZA"
,,,,
,,,,
KATATEDORI GYAKUHANMI,IKKYO (OMOTE – URA),6,,3
,SHIHONAGE (OMOTE – URA),6,,3
,NIKYO (OMOTE – URA),5,,3
,UCHIKAITEN KOKYUNAGE,5,,
,UCHIKAITENNAGE,5,,
,SOTOKAITENNAGE ,5,,
,SANKYO (OMOTE – URA),4,,3
,YONKYO (OMOTE – URA),4,,3
,IRIMINAGE (OMOTE – URA),4,,3
,KOTEGAESHI (OMOTE – URA),4,,3
,TENCHINAGE,4,,
,SUMIOTOSHI,4,,
,JIYUWAZA,3,1,1
,KOKYUNAGE,3,,
,KOSHINAGE,2,,
,UDEGARAMINAGE,2,,
,KOSHINAGE JIYU,1,,
,,,,
KATATEDORI AIHANMI ,IKKYO (OMOTE – URA),6,6,
,IRIMINAGE (OMOTE – URA),6,6,
,NIKYO (OMOTE – URA),5,,
,KOTEGAESHI (OMOTE – URA),5,,
,SHIHONAGE (OMOTE – URA),5,,
,SANKYO (OMOTE – URA),4,,
,YONKYO (OMOTE – URA),4,,
,SOTOKAITENNAGE,4,,
,SUMIOTOSHI,4,,
,JIYUWAZA,2,1,1
,KOSHINAGE,2,,
,UDEGARAMINAGE,2,,
,KOSHINAGE JIYU,1,,
,,,,
SHOMENUCHI,IKKYO (OMOTE – URA),6,6,2
,IRIMINAGE (OMOTE – URA),6,6,2
,NIKYO (OMOTE – URA) ,5,5,2
,SANKYO (OMOTE – URA),4,4,2
,YONKYO (OMOTE – URA),4,4,2
,KOTEGAESHI (OMOTE – URA),4,4,2
,UCHIKAITEN SANKYO,4,,
,GOKYO (OMOTE – URA),3,3,
,SHIHONAGE (OMOTE – URA),3,,
,UCHIKAITENNAGE,3,,
,SOTOKAITENNAGE ,3,3,
,SUMIOTOSHI,3,,2
,KOSHINAGE JIYU,1,,
,JIYUWAZA,1,1,1
,,,,
YOKOMENUCHI,IKKYO (OMOTE – URA),5,,
,NIKYO (OMOTE – URA),5,,
,SHIHONAGE (OMOTE – URA),5,,2
,IKKYO (OMOTE – URA),4,4,
,NIKYO (OMOTE – URA),4,4,
,SANKYO (OMOTE – URA),4,4,
,YONKYO (OMOTE – URA),4,4,
,UDEKIMENAGE (JUJI-NAGE),4,,
,GOKYO (OMOTE – URA),3,3,
,IRIMINAGE (OMOTE – URA),3,,
,KOTEGAESHI (OMOTE – URA),3,,2
,UCHIKAITENNAGE,,,2
,UCHIKAITEN KATA-KATAME,,,2
,KOSHINAGE JIYU,1,,
,JIYUWAZA,1,1,1
,,,,
KATADORI,IKKYO (OMOTE – URA),5,5,
,NIKYO (OMOTE – URA),5,5,
,SANKYO (OMOTE – URA),4,4,
,YONKYO (OMOTE – URA),4,4,
,IRIMINAGE (OMOTE – URA),1,,
,KOTEGAESHI (OMOTE – URA),1,,
,KOSHINAGE JIYU,1,,
,JIYUWAZA,1,1,1
,,,,
,,,,
MUNEDORI,IKKYO (OMOTE – URA),5,5,
,NIKYO (OMOTE – URA),5,5,
,SANKYO (OMOTE – URA),4,4,
,YONKYO (OMOTE – URA),4,4,
